date,entity_id,store_number,store_name,brand_id,brand_name,district_id,region,affiliate_id,currency,store_status,comp_eligible,plan_grain,net_sales_local,net_sales_usd,gross_sales_usd,discounts_usd,returns_usd,comp_pct,plan_usd,plan_attainment,transactions,units,ast_usd,aus_usd,upt,traffic,conversion,new_customers,new_customer_sales_usd,omni_penetration
2026-07-23,LB-001,101,Lumiere Beacon Court,LUM,Lumière,NE-1,Northeast,US,USD,Open,Y,DAY,7431.53,7431.53,8744.86,948.74,364.59,-0.019335,7175.94,1.035618,84,226,88.470595,32.882876,2.690476,368,0.228261,13,977.6,0.059912
2026-07-23,LB-002,102,Lumiere Harborlight Galleria,LUM,Lumière,NE-1,Northeast,US,USD,Open,Y,DAY,5324.56,5324.56,6416.73,653.84,438.33,-0.075016,5677.67,0.937807,95,255,56.048,20.880627,2.684211,511,0.18591,16,762.25,0.123246
2026-07-23,LB-003,103,Lumiere Chestnut Row,ATN,Atelier Noir,NE-1,Northeast,US,USD,Open,Y,WEEK,8617.1,8617.1,10267.45,963.53,686.82,-0.038396,0,,166,545,51.910241,15.811193,3.283133,744,0.223118,27,1191.34,0.040609
2026-07-23,LB-004,104,Lumiere Empire Crossing,LUM,Lumière,NE-2,Northeast,US,USD,Open,Y,DAY,3789.26,3789.26,4701.82,651.38,261.18,-0.039848,4121.57,0.919373,57,139,66.478246,27.260863,2.438596,280,0.203571,10,565.07,0.081958
2026-07-23,LB-006,106,Lumiere Liberty Wharf Outlets,BOT,Botanica,NE-2,Northeast,US,USD,Open,Y,NONE,3807.53,3807.53,4510.01,493.02,209.46,-0.016333,0,,46,130,82.772391,29.288692,2.826087,295,0.155932,7,492.5,0
2026-07-23,LB-007,107,Lumiere Magnolia Park,LUM,Lumière,SE-1,Southeast,US,USD,Open,Y,DAY,6204.66,6204.66,7216.5,677.49,334.35,0.12695,5782.81,1.072949,85,272,72.996,22.81125,3.2,357,0.238095,14,868.65,0.106251
2026-07-23,LB-008,108,Lumiere Coral Bay Galleria,LUM,Lumière,SE-1,Southeast,US,USD,Open,Y,DAY,9604.58,9604.58,11779.06,1478.01,696.47,0.002698,9833.41,0.976729,110,240,87.314364,40.019083,2.181818,477,0.230608,18,1335.91,0.04758
2026-07-23,LB-009,109,Lumiere Palmetto Landing,ATN,Atelier Noir,SE-1,Southeast,US,USD,Open,Y,WEEK,5762.77,5762.77,7141.91,1019.17,359.97,-0.235223,0,,101,321,57.057129,17.952555,3.178218,574,0.175958,16,775.98,0.055142
2026-07-23,LB-010,110,Lumiere Sunset Terrace,LUM,Lumière,SE-2,Southeast,US,USD,Open,Y,DAY,3233.57,3233.57,4001.24,516.11,251.56,-0.274924,4187.28,0.772236,54,131,59.880926,24.68374,2.425926,337,0.160237,9,458.09,0.024929
2026-07-23,LB-011,111,Lumiere Bluegrass Commons,BOT,Botanica,SE-2,Southeast,US,USD,Open,Y,NONE,5046.42,5046.42,6255.98,794.4,415.16,0.038482,0,,74,249,68.194865,20.266747,3.364865,,,13,753.55,0.062195
