date,entity_id,store_number,store_name,brand_id,brand_name,district_id,region,affiliate_id,currency,store_status,comp_eligible,plan_grain,net_sales_local,net_sales_usd,gross_sales_usd,discounts_usd,returns_usd,comp_pct,plan_usd,plan_attainment,transactions,units,ast_usd,aus_usd,upt,traffic,conversion,new_customers,new_customer_sales_usd,omni_penetration
2026-07-14,LB-001,101,Lumiere Beacon Court,LUM,Lumière,NE-1,Northeast,US,USD,Open,Y,DAY,5739.37,5739.37,6731.84,672.65,319.82,-0.076619,6042.9,0.949771,65,175,88.298,32.7964,2.692308,290,0.224138,10,750.53,0.046017
2026-07-14,LB-002,102,Lumiere Harborlight Galleria,LUM,Lumière,NE-1,Northeast,US,USD,Open,Y,DAY,4590.24,4590.24,5477.57,619.11,268.22,0.055499,4781.2,0.96006,82,220,55.978537,20.864727,2.682927,438,0.187215,14,666.14,0.134745
2026-07-14,LB-003,103,Lumiere Chestnut Row,ATN,Atelier Noir,NE-1,Northeast,US,USD,Open,Y,WEEK,7075.48,7075.48,8169.44,724.81,369.15,-0.072256,0,,137,450,51.645839,15.723289,3.284672,619,0.221325,24,1053.58,0.13769
2026-07-14,LB-004,104,Lumiere Empire Crossing,LUM,Lumière,NE-2,Northeast,US,USD,Open,Y,DAY,3544.65,3544.65,4216.7,466.85,205.2,-0.021277,3470.79,1.02128,53,130,66.880189,27.266538,2.45283,260,0.203846,9,511.63,0.0511
2026-07-14,LB-005,105,Lumiere Granite Hill Commons,ATN,Atelier Noir,NE-2,Northeast,US,USD,Open,Y,WEEK,2376.96,2376.96,2937.93,358.46,202.51,0.147436,0,,34,107,69.910588,22.214579,3.147059,161,0.21118,6,356.54,0.067145
2026-07-14,LB-006,106,Lumiere Liberty Wharf Outlets,BOT,Botanica,NE-2,Northeast,US,USD,Open,Y,NONE,3305.5,3305.5,3844.73,344.93,194.3,0.209455,0,,40,113,82.6375,29.252212,2.825,252,0.15873,6,421.45,0.047388
2026-07-14,LB-007,107,Lumiere Magnolia Park,LUM,Lumière,SE-1,Southeast,US,USD,Open,Y,DAY,5087.2,5087.2,6376.68,1005.89,283.59,0.108371,4869.74,1.044655,70,224,72.674286,22.710714,3.2,293,0.238908,12,741.28,0.079836
2026-07-14,LB-008,108,Lumiere Coral Bay Galleria,LUM,Lumière,SE-1,Southeast,US,USD,Open,Y,DAY,7907.74,7907.74,9692.66,1327.47,457.45,0.020257,8280.77,0.954952,91,199,86.898242,39.737387,2.186813,386,0.235751,16,1181.82,0.051721
2026-07-14,LB-009,109,Lumiere Palmetto Landing,ATN,Atelier Noir,SE-1,Southeast,US,USD,Open,Y,WEEK,5455.41,5455.41,6803.46,1013.15,334.9,-0.169011,0,,95,302,57.425368,18.064272,3.178947,539,0.176252,15,732.17,0.111053
2026-07-14,LB-010,110,Lumiere Sunset Terrace,LUM,Lumière,SE-2,Southeast,US,USD,Open,Y,DAY,2966.65,2966.65,3682.28,509.32,206.31,-0.187715,3526.13,0.841333,50,121,59.333,24.517769,2.42,313,0.159744,8,403.46,0.076214
2026-07-14,LB-011,111,Lumiere Bluegrass Commons,BOT,Botanica,SE-2,Southeast,US,USD,Open,Y,NONE,3579.47,3579.47,4344.7,535.03,230.2,-0.061738,0,,53,178,67.53717,20.109382,3.358491,242,0.219008,9,516.66,0.128237
2026-07-14,LB-012,112,Lumiere Old Harbour Walk,ATN,Atelier Noir,SE-2,Southeast,US,USD,Open,Y,WEEK,2202.3,2202.3,2644.11,295.29,146.52,0.197774,0,,38,98,57.955263,22.472449,2.578947,159,0.238994,6,295.57,0.146642
2026-07-14,LB-014,114,Lumiere Copper Row,ATN,Atelier Noir,MW-1,Midwest,US,USD,Open,Y,WEEK,4744.63,4744.63,6026.58,724.6,557.35,0.057384,0,,76,143,62.429342,33.179231,1.881579,323,0.235294,12,636.78,0.163509
2026-07-14,LB-015,115,Lumiere Riverbend Square,LUM,Lumière,MW-1,Midwest,US,USD,Open,Y,DAY,3409.69,3409.69,4181.05,481.98,289.38,-0.079087,3579.26,0.952624,66,214,51.66197,15.933131,3.242424,444,0.148649,11,483.04,0.103995
2026-07-14,LB-016,116,Lumiere Northgate Pavilion,BOT,Botanica,MW-2,Midwest,US,USD,Open,Y,NONE,3988.68,3988.68,4854.19,599.78,265.73,0.024767,0,,46,108,86.710435,36.932222,2.347826,258,0.178295,8,589.63,0.174855
2026-07-14,LB-017,117,Lumiere Prairie Gate Outlets,ATN,Atelier Noir,MW-2,Midwest,US,USD,Open,Y,WEEK,2437.11,2437.11,3113.43,470.48,205.84,0.070222,0,,44,90,55.388864,27.079,2.045455,260,0.169231,8,376.64,0.211459
2026-07-14,LB-018,118,Lumiere Desert Bloom Galleria,LUM,Lumière,SW-1,Southwest,US,USD,Open,Y,DAY,5812.92,5812.92,7448.36,1156.58,478.86,0.049231,5976.49,0.972631,81,199,71.764444,29.210653,2.45679,436,0.18578,12,732,0.047947
2026-07-14,LB-019,119,Lumiere Alamo Heights Market,ATN,Atelier Noir,SW-1,Southwest,US,USD,Open,Y,WEEK,5300.63,5300.63,6268.47,614.85,352.99,-0.028692,0,,109,278,48.629633,19.067014,2.550459,718,0.151811,17,702.7,0.035856
2026-07-14,LB-020,120,Lumiere Cypress Crossing,BOT,Botanica,SW-2,Southwest,US,USD,Open,Y,NONE,3155.59,3155.59,3763.69,370.51,237.59,-0.026902,0,,53,100,59.539434,31.5559,1.886792,280,0.189286,8,404.87,0.05309
2026-07-14,LB-021,121,Lumiere Santa Rosa Plaza,LUM,Lumière,SW-2,Southwest,US,USD,Open,Y,DAY,1658.31,1658.31,2014.9,229.69,126.9,-0.014026,1832.79,0.904801,20,57,82.9155,29.093158,2.85,114,0.175439,3,211.43,0.08051
2026-07-14,LB-022,122,Lumiere Pacific Heights Court,LUM,Lumière,WE-1,West,US,USD,Open,Y,DAY,9602.52,9602.52,11604.42,1534.55,467.35,0.115427,9296.77,1.032888,130,330,73.865538,29.098545,2.538462,591,0.219966,19,1192.93,0.079394
2026-07-14,LB-023,123,Lumiere Cascade Commons,BOT,Botanica,WE-1,West,US,USD,Opening Soon,N,NONE,7037.9,7037.9,8198.71,785.74,375.07,,0,,147,462,47.876871,15.23355,3.142857,762,0.192913,22,895.3,0.109834
2026-07-14,LB-024,124,Lumiere Sunfield Galleria,ATN,Atelier Noir,WE-2,West,US,USD,Open,Y,WEEK,6755.78,6755.78,8160.38,1039.09,365.51,-0.163187,0,,91,240,74.239341,28.149083,2.637363,367,0.247956,15,946.55,0.12079
2026-07-14,LB-025,125,Lumiere Silver Mesa Mall,LUM,Lumière,WE-2,West,US,USD,Open,N,DAY,2893.34,2893.34,3587.44,524.81,169.29,,2735.91,1.057542,34,87,85.098235,33.256782,2.558824,158,0.21519,5,361.67,0.114148
2026-07-14,LB-026,126,Lumiere Bloor Court,LUM,Lumière,CA-1,Canada,CA,CAD,Open,Y,DAY,7304.28,5410.58,6824.86,1041.66,372.62,0.086919,5223.9,1.035736,84,189,64.411667,28.627407,2.25,480,0.175,13,711.75,0.143408
2026-07-14,LB-027,127,Lumiere Queen West Pavilion,ATN,Atelier Noir,CA-1,Canada,CA,CAD,Open,Y,WEEK,4968.7,3680.52,4286.46,393.3,212.64,0.103506,0,,50,126,73.6104,29.210476,2.52,202,0.247525,7,437.99,0.111636
2026-07-14,LB-028,128,Lumiere Pacific Centre Walk,LUM,Lumière,CA-1,Canada,CA,CAD,Open,Y,DAY,7481.05,5541.52,6715.96,815.54,358.9,-0.004176,5325.56,1.040552,98,283,56.546122,19.581343,2.887755,459,0.213508,15,720.96,0.116677
2026-07-14,LB-029,129,Lumiere Sainte-Catherine Row,BOT,Botanica,CA-1,Canada,CA,CAD,Open,Y,NONE,4882.42,3616.61,4523.03,625.82,280.6,-0.032563,0,,80,148,45.207625,24.436554,1.85,477,0.167715,13,499.54,0.077462
