date,entity_id,store_number,store_name,brand_id,brand_name,district_id,region,affiliate_id,currency,store_status,comp_eligible,plan_grain,net_sales_local,net_sales_usd,gross_sales_usd,discounts_usd,returns_usd,comp_pct,plan_usd,plan_attainment,transactions,units,ast_usd,aus_usd,upt,upt_vs_ly,ast_vs_ly,aus_vs_ly,traffic,conversion,new_customers,new_customer_sales_usd,omni_penetration
2026-07-23,LB-001,101,Lumiere Beacon Court,LUM,Lumière,NE-1,Northeast,US,USD,Open,Y,DAY,7431.53,7431.53,8744.86,948.74,364.59,-0.019335,7175.94,1.035618,84,228,88.470595,32.59443,2.714286,0.010513,0.004014,-0.006431,368,0.228261,13,977.6,0.049251
2026-07-23,LB-002,102,Lumiere Harborlight Galleria,LUM,Lumière,NE-1,Northeast,US,USD,Open,Y,DAY,6016.75,6016.75,7250.9,738.84,495.31,0.045232,5677.67,1.059722,95,291,63.334211,20.676117,3.063158,0.123892,0.122249,-0.001463,511,0.18591,16,861.35,0.069325
2026-07-23,LB-003,103,Lumiere Chestnut Row,ATN,Atelier Noir,NE-1,Northeast,US,USD,Open,Y,WEEK,8617.1,8617.1,10267.45,963.53,686.82,-0.038396,0,,166,535,51.910241,16.106729,3.222892,0.001006,0.002154,0.001147,744,0.223118,27,1191.34,0.045858
2026-07-23,LB-004,104,Lumiere Empire Crossing,LUM,Lumière,NE-2,Northeast,US,USD,Open,Y,DAY,3789.26,3789.26,4701.82,651.38,261.18,-0.039848,4121.57,0.919373,57,137,66.478246,27.658832,2.403509,-0.015229,-0.006158,0.009211,280,0.203571,10,565.07,0.053807
2026-07-23,LB-006,106,Lumiere Liberty Wharf Outlets,BOT,Botanica,NE-2,Northeast,US,USD,Open,Y,NONE,3807.53,3807.53,4510.01,493.02,209.46,-0.016333,0,,46,132,82.772391,28.844924,2.869565,0.007634,-0.016333,-0.023785,295,0.155932,7,492.5,0.033037
2026-07-23,LB-007,107,Lumiere Magnolia Park,LUM,Lumière,SE-1,Southeast,US,USD,Open,Y,DAY,6204.66,6204.66,7216.5,677.49,334.35,0.12695,5782.81,1.072949,85,280,72.996,22.1595,3.294118,0.047502,0.007626,-0.038068,357,0.238095,14,868.65,0.085977
2026-07-23,LB-008,108,Lumiere Coral Bay Galleria,LUM,Lumière,SE-1,Southeast,US,USD,Open,Y,DAY,9604.58,9604.58,11779.06,1478.01,696.47,0.002698,9833.41,0.976729,110,238,87.314364,40.355378,2.163636,-0.036437,0.002698,0.040615,477,0.230608,18,1335.91,0.045961
2026-07-23,LB-009,109,Lumiere Palmetto Landing,ATN,Atelier Noir,SE-1,Southeast,US,USD,Open,Y,WEEK,5762.77,5762.77,7141.91,1019.17,359.97,-0.235223,0,,101,324,57.057129,17.786327,3.207921,-0.008874,-0.008062,0.000819,574,0.175958,16,775.98,0.084779
2026-07-23,LB-010,110,Lumiere Sunset Terrace,LUM,Lumière,SE-2,Southeast,US,USD,Open,Y,DAY,3233.57,3233.57,4001.24,516.11,251.56,-0.274924,4187.28,0.772236,54,129,59.880926,25.066434,2.388889,-0.015568,0.00705,0.022975,337,0.160237,9,458.09,0.086604
2026-07-23,LB-011,111,Lumiere Bluegrass Commons,BOT,Botanica,SE-2,Southeast,US,USD,Open,Y,NONE,5046.42,5046.42,6255.98,794.4,415.16,0.038482,0,,74,256,68.194865,19.712578,3.459459,0.045198,-0.003619,-0.046706,,,13,753.55,0.129222
